classroom_id,capacity,utilization_rate,equipment_availability,maintenance_status,floor,building
RM077,60,67.17,No,Poor,5,Block E
RM078,30,100.0,Yes,Average,2,Block C
RM079,100,66.62,No,Average,2,Block B
RM080,60,55.09,Yes,Good,4,Block D
RM081,30,33.85,Yes,Poor,4,Block E
RM082,30,70.57,Yes,Good,5,Block A
RM083,40,65.31,Yes,Poor,0,Block E
RM084,80,62.01,Yes,Good,4,Block D
RM085,120,41.77,Yes,Poor,4,Block E
RM086,150,65.47,No,Average,2,Block A
RM087,40,88.3,No,Average,2,Block A
RM088,100,51.68,Yes,Good,3,Block E
RM089,80,71.89,Yes,Average,1,Block E
RM090,100,78.92,Yes,Good,2,Block E
RM091,60,73.42,Yes,Average,2,Block A
RM092,200,54.86,Yes,Average,1,Block D
RM093,200,65.75,Yes,Average,5,Block C
RM094,30,69.54,Yes,Good,3,Block C
RM095,80,65.61,Yes,Average,5,Block B
RM096,80,49.24,Yes,Good,2,Block C
RM097,40,53.57,No,Average,3,Block D
RM098,80,75.29,No,Poor,1,Block C
RM099,80,100.0,No,Average,3,Block E
RM100,150,61.65,No,Average,1,Block B
RM101,120,73.98,Yes,Poor,0,Block B
RM102,60,62.37,Yes,Good,5,Block A
RM103,120,41.57,Yes,Good,1,Block D
RM104,30,24.03,No,Poor,2,Block D
RM105,60,73.98,Yes,Poor,5,Block D
RM106,30,80.36,Yes,Average,4,Block A
RM107,120,88.43,No,Average,4,Block E
RM108,40,89.06,Yes,Good,5,Block D
RM109,60,90.47,Yes,Good,1,Block E
RM110,30,45.01,Yes,Good,5,Block C
RM111,80,54.2,Yes,Good,5,Block D
RM112,80,62.2,Yes,Poor,4,Block B
RM113,80,75.94,No,Poor,3,Block D
RM114,120,62.69,No,Poor,0,Block E
RM115,60,53.67,Yes,Good,3,Block D
RM116,40,81.5,Yes,Good,3,Block E
RM117,60,69.82,Yes,Average,2,Block B
RM118,100,67.85,No,Poor,5,Block C
RM119,100,70.45,No,Poor,3,Block D
RM120,120,74.72,No,Poor,3,Block C
RM121,80,90.17,Yes,Poor,4,Block D
RM122,100,58.64,Yes,Good,3,Block D
RM123,80,78.19,No,Average,1,Block C
RM124,100,84.12,No,Average,1,Block E
RM125,120,70.72,Yes,Good,2,Block A
RM126,100,43.64,No,Poor,4,Block D
RM127,120,67.62,Yes,Good,1,Block E
RM128,30,72.53,Yes,Average,4,Block C
RM129,150,82.94,Yes,Good,3,Block B
RM130,120,57.92,Yes,Average,0,Block B
RM131,150,45.8,Yes,Good,2,Block D
RM132,120,94.79,Yes,Good,3,Block A
RM133,80,40.04,Yes,Good,1,Block C
RM134,40,93.02,Yes,Good,3,Block A
RM135,60,69.66,Yes,Good,5,Block E
RM136,100,51.46,Yes,Good,2,Block B
RM137,60,74.23,No,Average,1,Block C
RM138,80,55.29,Yes,Good,1,Block A
RM139,120,69.78,No,Average,3,Block D
RM140,60,76.38,No,Poor,1,Block E
RM141,150,55.97,Yes,Good,1,Block A
RM142,80,59.63,Yes,Average,0,Block A
RM143,200,47.6,Yes,Good,3,Block A
RM144,60,63.98,Yes,Good,5,Block A
RM145,60,82.74,Yes,Average,5,Block B
RM146,60,76.71,Yes,Good,2,Block E
RM147,30,65.34,Yes,Average,2,Block C
RM148,100,49.67,Yes,Good,3,Block B
RM149,60,53.16,Yes,Good,1,Block E
RM150,30,51.71,Yes,Poor,3,Block A
RM151,40,72.17,Yes,Good,4,Block A
RM152,30,34.79,Yes,Good,1,Block C
RM153,120,65.49,No,Poor,2,Block A
RM154,100,51.6,Yes,Good,3,Block C
RM155,80,92.78,Yes,Good,0,Block B
RM156,100,71.64,Yes,Good,3,Block B
RM157,30,73.61,Yes,Good,4,Block A
RM158,100,90.23,Yes,Poor,0,Block E
RM159,80,66.18,Yes,Good,0,Block A
RM160,80,46.46,Yes,Good,3,Block E
RM161,80,66.17,No,Poor,2,Block C
RM162,80,63.73,Yes,Good,0,Block B
RM163,100,38.2,Yes,Good,0,Block B
RM164,120,64.58,Yes,Average,3,Block B
RM165,100,84.31,No,Average,4,Block E
RM166,60,70.26,Yes,Good,2,Block C
RM167,60,57.58,Yes,Poor,0,Block D
RM168,40,50.91,Yes,Good,5,Block E
RM169,150,45.07,No,Average,3,Block E
RM170,60,65.24,No,Poor,3,Block D
RM171,80,49.08,No,Poor,5,Block D
RM172,30,89.91,Yes,Poor,1,Block E
RM173,60,93.31,Yes,Poor,3,Block B
RM174,80,78.77,Yes,Average,3,Block E
RM175,60,80.63,Yes,Good,4,Block A
RM176,40,74.37,No,Good,4,Block B
RM177,30,67.62,Yes,Poor,2,Block B
RM178,40,61.9,Yes,Average,0,Block A
RM179,80,76.86,Yes,Average,5,Block A
RM180,40,64.69,No,Poor,4,Block E
RM181,250,40.83,Yes,Poor,2,Block A
RM182,60,60.53,Yes,Good,4,Block D
RM183,80,59.87,Yes,Good,0,Block E
RM184,80,53.07,Yes,Good,5,Block C
RM185,100,62.79,No,Good,2,Block A
RM186,150,43.34,Yes,Good,3,Block A
RM187,60,75.33,Yes,Good,0,Block E
RM188,120,49.56,Yes,Average,1,Block B
RM189,40,54.99,No,Poor,1,Block C
RM190,80,63.45,Yes,Average,2,Block A
RM191,40,74.72,No,Average,0,Block A
RM192,80,48.74,Yes,Good,2,Block A
RM193,150,75.8,Yes,Average,5,Block C
RM194,80,71.04,No,Poor,4,Block D
RM195,60,73.78,Yes,Poor,3,Block A
RM196,60,59.74,No,Average,3,Block D
RM197,40,69.97,Yes,Average,4,Block A
RM198,300,51.16,Yes,Good,4,Block A
RM199,40,66.41,No,Good,3,Block B
RM200,100,81.57,Yes,Average,0,Block C
RM201,200,37.04,Yes,Good,5,Block E
RM202,30,47.44,No,Poor,1,Block E
RM203,80,58.76,No,Good,4,Block B
RM204,100,63.35,No,Average,3,Block C
RM205,150,74.86,Yes,Average,4,Block C
RM206,60,67.04,Yes,Good,0,Block D
RM207,100,70.68,Yes,Good,0,Block D
RM208,120,48.32,Yes,Average,5,Block B
RM209,40,77.3,No,Average,4,Block B
RM210,80,34.38,No,Poor,4,Block B
RM211,80,81.68,Yes,Poor,2,Block D
RM212,30,60.58,No,Poor,2,Block C
RM213,200,70.16,Yes,Good,4,Block C
RM214,80,54.57,Yes,Good,5,Block E
RM215,120,70.56,No,Poor,1,Block D
RM216,80,45.34,Yes,Good,3,Block B
RM217,40,74.67,Yes,Average,3,Block E
RM218,120,54.33,Yes,Good,2,Block D
RM219,120,62.84,Yes,Poor,0,Block B
RM220,300,41.31,Yes,Good,2,Block D
RM221,200,81.53,Yes,Good,3,Block D
RM222,40,69.66,Yes,Average,4,Block E
RM223,40,63.85,Yes,Average,1,Block D
RM224,80,56.16,No,Poor,0,Block A
RM225,100,79.6,Yes,Good,1,Block C
RM226,30,76.29,Yes,Good,4,Block E
RM227,120,83.55,Yes,Good,4,Block E
RM228,80,62.39,Yes,Good,5,Block A
RM229,40,73.28,Yes,Good,1,Block A
RM230,60,63.46,Yes,Good,4,Block E
RM231,40,64.34,No,Poor,3,Block C
RM232,120,84.73,Yes,Good,3,Block B
RM233,100,63.67,No,Poor,1,Block B
RM234,40,59.85,Yes,Poor,4,Block A
RM235,40,83.29,Yes,Poor,4,Block E
RM236,40,59.58,Yes,Average,1,Block E
RM237,200,23.24,Yes,Good,2,Block D
RM238,40,45.39,Yes,Average,2,Block E
RM239,100,58.82,Yes,Good,2,Block C
RM240,40,53.03,No,Poor,2,Block C
RM241,60,72.49,Yes,Average,2,Block C
RM242,100,74.49,Yes,Good,3,Block E
RM243,80,75.19,No,Poor,4,Block C
RM244,200,71.25,Yes,Good,2,Block A
RM245,100,87.27,Yes,Good,0,Block C
RM246,40,66.46,Yes,Poor,2,Block B
RM247,30,100.0,Yes,Good,2,Block B
RM248,150,51.8,Yes,Good,0,Block A
RM249,80,48.07,No,Poor,0,Block E
RM250,80,77.74,Yes,Good,0,Block B
RM251,200,68.39,Yes,Poor,4,Block E
RM252,80,67.3,Yes,Good,2,Block A
RM253,60,76.27,Yes,Good,0,Block C
RM254,60,59.04,Yes,Average,2,Block E
RM255,200,57.43,Yes,Good,5,Block C
RM256,60,71.53,Yes,Average,5,Block B
RM257,60,93.09,Yes,Good,5,Block B
RM258,40,61.29,Yes,Poor,3,Block E
RM259,150,72.25,Yes,Average,3,Block E
RM260,60,72.6,Yes,Average,3,Block A
RM261,100,70.46,Yes,Good,0,Block E
RM262,80,77.94,Yes,Good,5,Block B
RM263,120,94.05,Yes,Average,4,Block A
RM264,100,33.06,No,Average,0,Block E
RM265,120,46.64,No,Average,3,Block B
RM266,30,77.71,Yes,Average,3,Block E
RM267,80,84.49,Yes,Good,0,Block A
RM268,100,54.87,Yes,Good,4,Block E
RM269,30,74.14,Yes,Average,3,Block A
RM270,100,64.67,Yes,Average,3,Block C
RM271,80,42.17,Yes,Good,2,Block B
RM272,30,81.65,No,Average,2,Block E
RM273,30,78.37,No,Poor,2,Block C
RM274,60,73.58,No,Average,2,Block E
RM275,30,57.52,Yes,Good,2,Block A
RM276,200,40.62,Yes,Good,0,Block E
RM277,40,62.36,No,Poor,4,Block B
RM278,60,80.74,Yes,Poor,4,Block A
RM279,40,51.1,Yes,Good,0,Block D
RM280,120,76.44,No,Poor,3,Block A
RM281,100,73.34,No,Average,1,Block E
RM282,100,21.99,Yes,Average,1,Block B
RM283,60,85.73,Yes,Good,4,Block C
RM284,200,82.16,Yes,Good,5,Block B
RM285,200,69.04,No,Average,5,Block E
RM286,40,63.14,Yes,Good,0,Block A
RM287,80,69.84,Yes,Average,4,Block B
RM288,120,97.45,No,Poor,0,Block B
RM289,30,100.0,No,Average,5,Block B
RM290,100,61.86,Yes,Good,1,Block D
RM291,100,77.37,Yes,Good,5,Block A
RM292,200,46.07,Yes,Good,3,Block C
RM293,80,59.4,No,Poor,3,Block C
RM294,60,72.41,Yes,Average,4,Block D
RM295,30,100.0,No,Average,1,Block C
RM296,30,76.15,No,Average,5,Block C
RM297,80,100.0,Yes,Average,2,Block D
RM298,100,54.13,Yes,Good,3,Block E
RM299,80,46.7,Yes,Average,3,Block D
RM300,40,84.88,No,Average,1,Block E
RM301,40,99.44,Yes,Poor,1,Block A
RM302,40,76.45,No,Poor,1,Block D
RM303,40,81.17,Yes,Average,2,Block B
RM304,60,66.66,No,Average,0,Block A
RM305,80,70.84,No,Poor,1,Block C
RM306,120,54.63,Yes,Good,1,Block C
RM307,60,35.39,Yes,Poor,1,Block B
RM308,40,76.22,Yes,Good,5,Block B
RM309,100,54.28,Yes,Average,0,Block E
RM310,300,15.0,No,Poor,3,Block D
RM311,60,84.98,Yes,Good,2,Block C
RM312,60,71.64,No,Average,5,Block A
RM313,40,79.24,No,Poor,4,Block E
RM314,150,75.1,Yes,Average,4,Block D
RM315,200,33.29,Yes,Average,1,Block A
RM316,40,57.13,No,Poor,0,Block E
RM317,100,54.07,Yes,Good,5,Block B
RM318,150,64.6,No,Average,2,Block B
RM319,40,50.55,Yes,Good,5,Block C
RM320,40,64.7,Yes,Poor,4,Block E
RM321,40,68.44,No,Average,5,Block A
RM322,40,65.7,Yes,Poor,0,Block B
RM323,100,29.83,Yes,Good,3,Block C
RM324,60,45.85,Yes,Average,0,Block E
RM325,60,71.81,Yes,Poor,5,Block D
RM326,100,81.99,Yes,Average,1,Block A
RM327,60,74.62,No,Poor,3,Block E
RM328,40,64.21,Yes,Good,0,Block E
RM329,60,100.0,Yes,Poor,1,Block A
RM330,40,68.7,Yes,Poor,2,Block E
RM331,120,28.84,Yes,Good,5,Block E
RM332,60,54.54,Yes,Poor,0,Block D
RM333,200,33.52,No,Average,1,Block C
RM334,100,72.55,Yes,Poor,2,Block A
RM335,40,68.8,Yes,Average,5,Block B
RM336,100,57.4,Yes,Good,1,Block D
RM337,80,42.49,No,Poor,0,Block D
RM338,150,98.3,Yes,Good,3,Block C
RM339,250,47.06,No,Average,0,Block B
RM340,100,63.66,No,Poor,4,Block B
RM341,100,40.77,Yes,Average,5,Block E
RM342,30,45.99,No,Poor,3,Block C
RM343,30,78.1,Yes,Poor,5,Block B
RM344,200,51.98,Yes,Poor,3,Block E
RM345,100,67.68,Yes,Good,2,Block D
RM346,40,41.93,No,Good,2,Block D
RM347,80,31.12,Yes,Average,0,Block C
RM348,80,81.37,No,Poor,0,Block B
RM349,80,64.3,No,Poor,4,Block E
RM350,60,76.09,Yes,Good,1,Block A
RM351,30,97.34,Yes,Good,3,Block E
RM352,80,67.1,No,Average,1,Block D
RM353,80,44.37,Yes,Average,1,Block C
RM354,40,55.7,Yes,Good,4,Block B
RM355,120,44.32,No,Average,5,Block A
RM356,100,57.62,Yes,Good,3,Block E
RM357,40,59.52,Yes,Good,1,Block D
RM358,80,50.54,Yes,Good,3,Block D
RM359,100,49.14,Yes,Average,2,Block A
RM360,40,54.23,Yes,Poor,5,Block E
RM361,80,67.08,Yes,Average,0,Block D
RM362,150,42.3,Yes,Average,5,Block D
RM363,30,69.93,No,Average,2,Block C
RM364,60,83.64,Yes,Average,2,Block B
RM365,30,68.38,No,Average,3,Block D
RM366,30,63.59,No,Good,5,Block A
RM367,80,72.64,Yes,Average,1,Block D
RM368,40,75.16,No,Average,2,Block E
RM369,300,25.39,Yes,Good,4,Block B
RM370,80,75.97,No,Poor,2,Block D
RM371,120,75.54,Yes,Good,4,Block E
RM372,60,79.91,No,Poor,5,Block E
RM373,100,65.86,Yes,Good,0,Block C
RM374,80,69.29,No,Average,4,Block B
RM375,60,67.16,Yes,Good,5,Block C
RM376,40,68.49,Yes,Average,5,Block B
RM377,40,71.47,Yes,Good,0,Block A
RM378,80,63.47,Yes,Poor,3,Block D
RM379,60,50.73,Yes,Good,3,Block E
RM380,30,65.36,No,Poor,4,Block A
RM381,40,59.57,No,Poor,5,Block E
RM382,80,76.95,Yes,Average,4,Block B
RM383,30,89.83,Yes,Poor,1,Block C
RM384,80,50.05,No,Poor,1,Block D
RM385,30,56.75,Yes,Average,1,Block A
RM386,40,44.73,Yes,Average,0,Block E
RM387,150,78.57,Yes,Poor,1,Block E
RM388,200,60.49,No,Poor,1,Block E
RM389,200,67.65,Yes,Good,0,Block D
RM390,80,56.76,Yes,Average,3,Block D
RM391,30,83.9,No,Poor,4,Block C
RM392,60,58.25,Yes,Poor,5,Block A
RM393,40,61.95,No,Poor,0,Block B
RM394,120,63.5,Yes,Poor,3,Block D
RM395,150,63.92,No,Average,3,Block A
RM396,30,57.22,Yes,Good,2,Block C
RM397,100,68.68,Yes,Good,4,Block C
RM398,120,77.62,No,Poor,1,Block A
RM399,150,52.89,Yes,Good,1,Block D
RM400,30,72.08,Yes,Good,4,Block C
RM401,80,61.4,Yes,Good,1,Block B
RM402,80,37.6,Yes,Good,2,Block C
RM403,60,58.59,Yes,Good,1,Block C
RM404,30,71.48,Yes,Good,4,Block A
RM405,100,73.18,Yes,Good,1,Block D
RM406,40,72.56,No,Average,5,Block E
RM407,30,58.51,Yes,Average,4,Block B
RM408,250,56.09,No,Average,3,Block B
RM409,60,93.66,Yes,Average,1,Block A
RM410,200,62.39,Yes,Average,3,Block C
RM411,200,60.22,Yes,Poor,5,Block C
RM412,120,41.92,Yes,Good,5,Block B
RM413,80,85.62,Yes,Good,1,Block A
RM414,60,78.05,Yes,Average,3,Block D
RM415,40,81.84,Yes,Good,2,Block C
RM416,60,52.08,Yes,Average,0,Block E
RM417,60,78.5,Yes,Average,5,Block B
RM418,100,65.81,No,Poor,1,Block D
RM419,100,48.61,Yes,Poor,3,Block A
RM420,80,61.36,Yes,Good,2,Block A
RM421,150,59.56,Yes,Good,4,Block B
RM422,40,68.85,Yes,Good,2,Block B
RM423,60,53.27,Yes,Good,1,Block B
RM424,100,80.34,No,Poor,4,Block C
RM425,60,74.02,No,Poor,2,Block E
RM426,60,68.42,Yes,Poor,0,Block E
RM427,30,91.65,Yes,Poor,1,Block D
RM428,30,64.3,No,Poor,3,Block E
RM429,30,71.67,Yes,Average,3,Block C
RM430,40,75.34,No,Average,1,Block B
RM431,150,74.09,Yes,Good,0,Block C
RM432,40,67.58,Yes,Good,3,Block C
RM433,60,83.03,No,Good,0,Block D
RM434,200,48.02,Yes,Good,3,Block A
RM435,120,82.89,No,Good,5,Block A
RM436,80,55.21,Yes,Good,1,Block E
RM437,30,70.41,Yes,Good,2,Block A
RM438,200,63.36,Yes,Good,0,Block C
RM439,100,53.84,Yes,Good,4,Block E
RM440,60,86.52,No,Average,5,Block A
RM441,30,42.86,Yes,Poor,1,Block B
RM442,60,62.51,Yes,Good,5,Block B
RM443,100,72.62,Yes,Good,0,Block B
RM444,80,38.06,No,Poor,2,Block E
RM445,40,60.97,Yes,Good,2,Block B
RM446,30,53.51,Yes,Good,1,Block A
RM447,40,68.21,Yes,Good,4,Block C
RM448,100,66.36,No,Average,1,Block C
RM449,150,69.06,Yes,Good,5,Block D
RM450,250,76.88,Yes,Good,0,Block A
RM451,100,63.53,No,Poor,3,Block D
RM452,80,67.29,No,Poor,0,Block A
RM453,80,74.69,No,Poor,2,Block C
RM454,40,48.7,Yes,Poor,4,Block A
RM455,150,61.15,Yes,Good,1,Block E
RM456,100,44.09,Yes,Good,4,Block A
RM457,100,53.83,Yes,Good,5,Block E
RM458,100,75.13,Yes,Average,0,Block B
RM459,80,69.7,No,Average,3,Block E
RM460,30,70.57,Yes,Good,0,Block B
RM461,40,64.79,No,Average,5,Block A
RM462,30,77.97,Yes,Good,2,Block E
RM463,40,96.29,Yes,Average,4,Block C
RM464,60,83.57,Yes,Good,0,Block D
RM465,120,98.16,Yes,Average,1,Block A
RM466,30,86.54,Yes,Good,0,Block A
RM467,120,52.75,Yes,Good,5,Block A
RM468,120,22.56,Yes,Average,1,Block D
RM469,80,66.2,Yes,Poor,3,Block E
RM470,30,89.03,No,Poor,5,Block D
RM471,40,74.07,Yes,Good,1,Block C
RM472,60,84.1,Yes,Good,0,Block A
RM473,120,86.05,Yes,Good,5,Block E
RM474,40,71.91,Yes,Good,1,Block D
RM475,250,70.02,Yes,Poor,5,Block C
RM476,100,34.18,Yes,Good,1,Block E
RM477,40,57.62,Yes,Good,3,Block C
RM478,100,64.44,No,Poor,1,Block B
RM479,80,70.86,No,Good,3,Block D
RM480,200,54.72,Yes,Average,2,Block A
RM481,40,62.18,No,Good,4,Block A
RM482,40,66.28,Yes,Good,5,Block D
RM483,30,58.01,No,Average,0,Block E
RM484,100,42.01,Yes,Good,1,Block E
RM485,80,76.03,No,Average,2,Block E
RM486,40,43.1,Yes,Average,5,Block C
RM487,30,65.75,Yes,Average,2,Block D
RM488,100,69.22,No,Poor,5,Block C
RM489,80,41.29,Yes,Good,5,Block E
RM490,100,51.48,Yes,Average,0,Block D
RM491,120,84.35,Yes,Average,4,Block C
RM492,120,36.08,Yes,Average,1,Block A
RM493,40,85.01,No,Good,2,Block C
RM494,40,45.17,Yes,Good,5,Block B
RM495,100,50.63,Yes,Good,5,Block E
RM496,60,81.93,No,Poor,3,Block C
RM497,80,77.1,No,Poor,1,Block A
RM498,100,76.53,Yes,Poor,5,Block A
RM499,200,47.59,Yes,Average,5,Block C
RM500,60,39.36,Yes,Good,1,Block E
